subject_id,video_id,state_code,label,split,window_start,window_end,n_sampled_frames,n_valid_face,face_detection_rate,ear_valid_rate,mar_valid_rate,ear_relative_mean,ear_relative_std,ear_relative_min,ear_relative_p10,strong_ear_reduction_rate,perclos_relative,max_eye_closure_seconds,eye_closure_episode_count,mar_relative_mean,mar_relative_std,mar_relative_max,high_mouth_open_rate,pitch_delta_mean,pitch_delta_std,pitch_delta_range,yaw_delta_std,roll_delta_std,max_head_drop_delta,abrupt_pitch_movement_count
01,01_0_0,0,0,Test,30.0,40.0,50,50,1.0,1.0,1.0,0.9707689675582462,0.062340137526657034,0.683393963319214,0.9103893185124067,0.0,0.04,0.2,2,0.8904726806099125,0.1155688535840093,1.1002071739467483,0.0,1.8368641949482925,2.927794321488667,10.690504556489913,5.138196074384299,52.188413688919255,10.595653066108753,1
01,01_0_0,0,0,Test,40.0,50.0,50,50,1.0,1.0,1.0,0.9924161777451783,0.07440087603128859,0.5814420543879124,0.9268795217114884,0.02,0.02,0.2,1,0.8335232307247641,0.19385844037756259,1.3797622425798461,0.0,2.801935184000549,0.5104890799925959,2.331513829410568,0.7236030087707247,0.37020057296025793,3.5644245319380445,0
01,01_0_0,0,0,Test,50.0,60.0,50,50,1.0,1.0,1.0,0.9825160314739125,0.09717469672272595,0.36415871443369224,0.9292899508753928,0.02,0.02,0.2,1,1.0788873623333772,0.20518027378945192,1.6016738003235416,0.12,1.171862306436786,0.6298111332010441,2.203994391658739,0.4223910185783025,0.44342947065935573,2.248806215789301,0
01,01_0_1,0,0,Test,0.0,10.0,50,50,1.0,1.0,1.0,0.9729878222106574,0.06808721358871565,0.7873652614820424,0.8793502524101965,0.0,0.02,0.2,1,1.272162422364492,0.4225996804315991,2.00963733391186,0.38,4.484432363436319,0.6419640569564395,3.5501030938810345,1.0291580742404391,1.0222359990812067,5.522444637349963,0
01,01_0_1,0,0,Test,10.0,20.0,50,50,1.0,1.0,1.0,0.9697545861858695,0.09705107307371459,0.5186986190733316,0.9274288847779452,0.02,0.06,0.2,3,0.9610485052819118,0.1341346648144201,1.350232003118617,0.0,5.085373629544905,0.44922455056182964,1.9344395608440266,0.8138434732394365,0.2971709935229238,5.896736821279404,0
01,01_0_1,0,0,Test,20.0,30.0,50,50,1.0,1.0,1.0,0.9392738639450181,0.06647868353618909,0.6636445352647884,0.8525706175367979,0.0,0.06,0.2,3,1.0121466155765706,0.08280115508048726,1.2222497735671283,0.0,4.960997258207035,0.38252549064401803,1.881353011727299,0.3926609581026596,0.23173171748680457,5.34417081074227,0
01,01_0_1,0,0,Test,30.0,40.0,50,50,1.0,1.0,1.0,0.9641351156402321,0.07765921339618322,0.5534835228992121,0.9088699315100712,0.02,0.02,0.2,1,0.9176347084010655,0.09441825758743821,1.1730811673888124,0.0,4.8214998781141025,0.7897676619831909,2.95496602497073,0.5763842452177975,0.808161993937912,5.918008040860855,0
01,01_0_1,0,0,Test,40.0,50.0,50,50,1.0,1.0,1.0,0.8921412060069113,0.07282151527257662,0.7521108826112584,0.7885965040000965,0.0,0.16,1.2,3,1.1102314170201064,0.15953517128966596,1.4429781121181375,0.0,-2.5195287321492548,15.963072379217207,112.55846632887824,3.245440135805327,36.45829359157751,5.339130420683716,2
01,01_0_1,0,0,Test,50.0,60.0,50,50,1.0,1.0,1.0,0.8265121456612685,0.06280329665836357,0.5561548360740347,0.7637815009961971,0.02,0.2,0.8,4,1.0689008627874952,0.1354291064406302,1.4811082562388334,0.0,-7.624648678564688,23.607444176215942,222.417418285237,9.167817502756098,59.22365523801289,64.94712783390287,2
01,01_0_2,0,0,Test,0.0,10.0,50,50,1.0,1.0,1.0,0.9120732075358474,0.2141106359019777,0.2597028218992161,0.5823020885493814,0.12,0.16,0.4,6,0.6674761259528629,0.21239781323769888,1.206510128614346,0.0,4.590566363540699,3.7730820959557207,15.592234983809306,2.6475874172789653,25.288590775357754,8.661214398266111,0
