subject_id,calibration_video_id,calibration_start,calibration_end,n_calibration_frames,n_valid_face,ear_base,mar_base,pitch_base,yaw_base,roll_base,calibration_face_detection_rate,split
01,01_0_0,0.0,29.8,150,150,0.2564316446601931,0.01588383511133835,172.28577225792918,-20.74887779367674,3.5155331410876727,1.0,Test
02,02_0_0,0.0,29.8,150,150,0.26492530874362236,0.012358056507724851,159.84143086865748,-8.348396740791031,1.8228929242565073,1.0,Train
03,03_0_0,0.0,29.8,150,150,0.29584392413847854,0.0108805901325475,170.8400529491583,0.17743220783086144,-0.4150237353026114,1.0,Train
04,04_0_0,0.0,29.8,150,150,0.25301366601230124,0.0095116280751209,157.12833835407343,-11.898324922188948,1.8477291786242915,1.0,Test
05,05_0_0,0.0,29.8,150,150,0.2686255671362741,0.007333948214917,165.6156313291936,17.243003221334874,-3.8430317673836214,1.0,Validation
06,06_0_0,0.0,29.8,150,144,0.29155460964214425,0.0227330559275453,159.5015704565107,6.520716012009274,0.36338926135994143,0.96,Test
07,07_0_0,0.0,29.8,150,150,0.23551352200377249,0.0050909884568592495,171.78105479440444,-1.7699976012820002,1.7353108481408412,1.0,Test
08,08_0_0,0.0,29.8,150,150,0.26174860585062437,0.005967454278171349,171.41167019394248,12.029917251973671,-2.2495537730210913,1.0,Train
09,09_0_0,0.0,29.8,150,150,0.279183618119111,0.014551484673297,167.86132542548614,8.625650448438279,-0.5834796350875422,1.0,Validation
10,10_0_0,0.0,29.8,150,150,0.2266826187955918,0.00508739467373,170.46068788318286,-4.433701547868651,3.2677585006967433,1.0,Train
11,11_0_0,0.0,29.8,150,150,0.3114765941003785,0.0061392135645902,-177.8416017675926,-1.3255983532552875,1.0057101272595332,1.0,Train
12,12_0_0,0.0,29.8,150,150,0.29393124038450874,0.0077644999288442994,-175.9831229688763,2.268592252778518,-1.1095768860567148,1.0,Train
13,13_0_0,0.0,29.8,150,150,0.33112451581369096,0.05034576601394125,-174.15473126028948,-5.520182885791797,-2.4435854193888247,1.0,Validation
